PART NUMBER,OEM,DESCRIPTION,SHELF,LEVEL,ROW
1303-03663,N/A,Right Angle Rubber Hose,UA-6,2,C
1303-04851,N/A,Right Angle Rubber Hose,UA-6,2,C
3406-00938,N/A,Polyurethane Reinforced Hose (High Pressure),UA-6,2,D
3406-01018,N/A,Polyurethane Reinforced Hose (High Pressure),UA-6,2,D
3406-02304,N/A,Steering Low Pressure Oil Pipe,UA-6,2,D
1119-02834,N/A,Right Angle Rubber Hose,UA-6,2,D
1119-02690,N/A,Right Angle Rubber Hose,UA-6,2,D
1109-02624,N/A,Right Angle Rubber Hose,UA-6,2,D
1104-01642,N/A,Fuel Inlet Pipe Assy.,UA-6,2,D
1109-00539,N/A,Hose Intake Rubber Engine,UA-6,2,D
1303-00963,N/A,Hose Radiator Lower Reducing Rubber,UA-6,2,D
1303-02437,N/A,Water Outlet Steel Pipe ,UA-6,3,E
1104-01519,N/A,Fuel Tank Connecting Rubber Hose ,UA-6,3,E
1104-01632,N/A,Inlet Pipeline Component ,UA-6,3,E
1303-02933,N/A,Straight Steel Pipe ,UA-6,3,E
3406-00670,N/A,Polyurethane Hose,UA-6,3,E
8108-02593,N/A,High Pressure Rubber Hose ,UA-6,3,F
8108-02597,N/A,Low Pressure Rubber Hose ,UA-6,3,F
1104-01313,N/A,"Fuel Return Pipe, Fuel Injector",UA-6,3,F
1607-00361,N/A,Hose Clutch Booster,UA-6,3,F
1607-00266,N/A,Clutch Low-Pressure Rubber Hose ,UA-6,3,F
1104-00790,N/A,High Pressure Fuel Pipe,UA-6,3,F
1104-00428,N/A,"Fuel Return Pipe, Fuel Injector",UA-6,3,F
8108-02596,N/A,Low Pressure Rubber Hose ,UA-6,3,F
3406-01441,N/A,Polyurethane Reinforced Hose (High Pressure),UA-6,4,G
3406-01440,N/A,Polyurethane Hose,UA-6,4,G
3406-00955,N/A,HosePolyurethane Power Steering,UA-6,4,G
8108-07687,N/A,High Pressure Rubber Hose,UA-6,4,G
3506-05112,N/A,High Temperature Hose Assy. ,UA-6,4,G
8108-09692,N/A,Low Pressure Rubber Hose ,UA-6,4,H
1104-03159,N/A,"Fuel Return Pipe, Fuel Injector",UA-6,4,H
3406-01099,N/A,Polyurethane Reinforced Hose (High Pressure),UA-6,4,H
3406-01456,N/A,Polyurethane Reinforced Hose (High Pressure),UA-6,4,H
3406-00669,N/A,Polyurethane Hose,UA-6,4,H
8108-01831,N/A,High Pressure Rubber Hose,UA-6,4,H
8108-00408,N/A,Low Pressure Rubber Hose,UA-6,5,I
8108-00407,N/A,High Pressure Rubber Hose,UA-6,5,I
3406-01451,N/A,Polyurethane Hose,UA-6,5,J
3406-01937,N/A,Polyurethane Hose,UA-6,5,J
3406-01445,N/A,Hose Polyurethane Power Steering,UA-6,5,J
1104-01517,N/A,Pipe High Pressure Fuel FIP to Injector,UA-6,5,J
8108-06276,N/A,High Pressure Rubber Hose ,UA-6,6,K
8108-06277,N/A,Low Pressure Rubber Hose,UA-6,6,K
1119-00845,N/A,"Rubber Bend Pipe, Intercooler",UA-6,6,L
1109-00874,N/A,Intake Rubber Hose,UA-6,6,L
1109-01365,N/A,"Outlet Rubber Hose, Air Filter",UA-6,6,L
1104-00696,N/A,"Fuel Return Pipe, Fuel Injector",UA-6,6,L
4133-00034,N/A,Combined Rear Tail Lamp (Right) ,UA-7,1,A
1119-04066,N/A,Right Angle Rubber Hose,UA-7,1,A
1109-04889,N/A,Right Angle Rubber Hose,UA-7,1,A
4133-00033,N/A,Combined Rear Tail Lamp (Left),UA-7,1,B
1104-02010,N/A,High Pressure Fuel Pipe,UA-7,1,B
1109-00813,N/A,Intake Bellows Pipe,UA-7,1,B
3509-01965,N/A,Air Compressor Inlet Pipe,UA-7,1,B
3509-00837,N/A,Oil Inlet Pipe,UA-7,1,B
3509-00835,N/A,Water Return Pipe,UA-7,1,B
3509-01925,N/A,Rubber Sleeve,UA-7,1,B
1104-01799,N/A,Pipe Common Rail,UA-7,1,B
1118-01548,1118-00102,Oil Inlet Tube Turbocharger,UA-7,2,C
1303-03554,N/A,Right Angle Rubber Hose,UA-7,2,C
1119-03801,N/A,Right-angle Rubber Hose,UA-7,2,C
1119-01740,N/A,Right Angle Rubber Hose,UA-7,2,C
1303-04512,N/A,Hose Right Angle Rubber,UA-7,2,D
1119-00740,N/A,Blow off Hose,UA-7,2,D
1303-00054,N/A,Right-angle Rubber Hose,UA-7,2,D
1306-00079,N/A,Hose Water Pump by Pass Elbow,UA-7,2,D
1104-01136,N/A,Pipe Oil Fuel Injection Pump,UA-7,2,D
1306-00391,1306-00282,Water Return Rubber Pipe,UA-7,2,D
1104-02795,N/A,Fuel Inlet Pipe Assy.,UA-7,2,D
1104-01000,N/A,Oil Pipe (ECU to Fuel Transfer Pump) ,UA-7,2,D
1104-01315,N/A,Oil Pipe (Fuel Distributor to ECU Part) ,UA-7,2,D
1303-03532,N/A,Rubber Straight Pipe,UA-7,2,D
3406-01393,N/A,Steering Oil Pipe,UA-7,2,D
3509-00112,N/A,Air Compressor Water Outlet Pipe,UA-7,2,D
1307-00472,1307-00219,Hose Return Water Pump,UA-7,2,D
1104-01314,N/A,Oil Pipe (Fuel Filter to Fuel Injection Pump),UA-7,2,D
8500-00831,N/A,Quick Fitting Water Pipe,UA-7,2,D
1104-02794,N/A,"Fuel Return Pipe, Fuel Injector",UA-7,2,D
1104-01431,N/A,Oil Inlet Pipe -Fuel Pump To Fuel Injection Pump,UA-7,2,D
1014-00084,N/A,Vent Rubber Hose Low,UA-7,2,D
1111-00611,N/A,Oil Return Pipe to Oil Injection Pump,UA-7,2,D
3506-01187,N/A,Hose Rear Brake Chamber,UA-7,2,D
1111-00110,N/A,Oil Return Pipe to Oil Injection Pump,UA-7,2,D
1111-00680,N/A,Oil Inlet Pipe -Fuel Pump To Fuel Injection Pump,UA-7,2,D
1104-01447,N/A,High Pressure Fuel Pipe,UA-7,2,D
1303-02882,N/A,Water Inlet Pipe Air Compressor,UA-7,2,D
8135-00761,N/A,Fluid Inlet Pipe,UA-7,2,D
1104-01019,N/A,Oil Pipe (FIP to Fuel Distributor) ,UA-7,2,D
1761-00271,N/A,Release Bearing Hose,UA-7,2,D
8108-01832,N/A,Low Pressure Rubber Hose,UA-7,3,E
1104-00334,N/A,Oil Pipe Sub Assembly,UA-7,3,E
1104-01023,1104-01825,Oil Pipe (Oil Pump to Oil Rail),UA-7,3,E
1303-03533,N/A,Right Angle Rubber Hose,UA-7,3,E
1303-03553,N/A,Right Angle Rubber Hose,UA-7,3,E
1303-00819,N/A,Right Angle Reduced Rubber Pipe,UA-7,3,E
1303-00062,N/A,Water Tank Outlet Pipe,UA-7,3,E
1119-02625,N/A,Rubber Hose,UA-7,3,E
1701-00133,N/A,Release Bearing Oil Filler Hose,UA-7,3,F
3509-00547,N/A,Air Compressor Lubricant Pipe,UA-7,3,F
1607-00265,N/A,High Pressure Hose,UA-7,3,F
8111-00269,N/A,Vent Bend Rubber Hose ,UA-7,3,F
1104-01001,N/A,Oil Pipe (Fuel Distributor to ECU Part) ,UA-7,3,F
1119-03375,N/A,Right Angle Rubber Hose ,UA-7,3,F
1104-00514,N/A,Oil Pipe (FTP to Fuel Filter),UA-7,3,F
1119-00005,N/A,Silicone Rubber Bellows Pipe ,UA-7,3,F
1303-04929,N/A,Right Angle Rubber Hose,UA-7,3,F
1119-01178,N/A,Silicone Rubber Intake Pipe ,UA-7,3,F
1018-00111,1104-00538,Pipe Oil ,UA-7,3,F
1118-00219,N/A,Oil Return Pipe of Supercharger,UA-7,3,F
1303-00078,N/A,Right Angle Rubber Hose ,UA-7,3,F
1119-00247,N/A,Intake Rubber Hose Engine,UA-7,3,F
1119-02982,N/A,Right Angle Rubber Hose ,UA-7,4,G
8108-02624,N/A,Hose Low Pressure Rubber,UA-7,4,H
8108-08642,N/A,Hose High Pressure Rubber,UA-7,4,H
1013-00292,1013-00180,Oil Cooler Rubber Hose,UA-7,4,H
8108-10206,N/A,Hose High Pressure Rubber,UA-7,4,H
4134-00030,N/A,High Position Brake Lamp,UA-8,1,A
4134-00049,N/A,High Position Brake Lamp ,UA-8,1,A
4135-00041,N/A,Trim Lamp Plate ,UA-8,1,A
4135-00043,N/A,"Decoration Plate, Front Middle",UA-8,1,B
3715-00169,4133-00098,Combined Rear Tail Lamp (Left) ,UA-8,2,C
2931-00689,N/A,Air Bag,UA-8,2,C
4123-00045,N/A,Roof Lamp,UA-8,2,D
4112-00012,N/A,Inner Roof Lamp ,UA-8,2,D
3715-00170,4133-00099,Combined Rear Tail Lamp (Right) ,UA-8,3,E
3715-00135,N/A,Combined Rear Fog Lamp ,UA-8,3,F
1000-04262-13,N/A,Ventilation System Assy,UA-9,2,C
1000-04262-09,N/A,Air Intake and Exhaust Pipe Assy.,UA-9,2,C
4133-00105,N/A,Left Combined Rear Tail Lamp,UA-9,2,D
4133-00106,N/A,Right Combined Rear Tail Lamp,UA-9,2,D
7912-01284,N/A,Display Mounting,UA-9,3,E
7912-00584,N/A,LCD Electric Display TV Set,UA-9,3,E
7912-01110,N/A,"Display Monitor 22""",UA-9,3,F
7912-01285,N/A,Display Monitor,UA-9,4,H
7912-00838,N/A,Display Mounting ,UA-9,4,H
1762-02068,N/A,Countershaft Rear Bearing,UB,1,A
1762-02059,N/A,Rear Bearing Countershaft,UB,1,A
1708-00864,N/A,Gear Synchro 1st/ 2nd,UB,1,A
1708-00866,N/A,Gear Synchro 5th Reverse,UB,1,A
1762-02133,N/A,3rd Gear Countershaft,UB,1,A
1762-02134,N/A,Reverse Shaft Gear,UB,1,A
1762-02053,N/A,"5th Gear, Countershaft",UB,1,A
1762-02055,N/A,"4th Gear, Countershaft",UB,1,A
1763-02431,N/A,"2nd Gear, Countershaft",UB,1,A
1763-02573,N/A,"5th Gear, Countershaft",UB,1,A
1714-00865,N/A,Release Bearing,UB,1,A
1763-00244,N/A,Second Shaft Fourth Bearing Inner Race,UB,2,B
1714-00605,N/A,Release Bearing,UB,2,B
1763-01203,N/A,6th Gear Countershaft,UB,2,B
1763-01007,1763-00557,Second Shaft Front Bearing ,UB,2,B
1761-00149,N/A,Clutch Release Bearing & Seat ,UB,2,B
1764-00174,N/A,Odometer Induction Ring,UB,2,B
1763-00554,N/A,Bearing Race 4th Gear,UB,2,B
1765-00048,N/A,Release Fork,UB,2,B
1714-00449,N/A,Release Bearing,UB,2,B
1763-00158,N/A,Double Conical Ring,UB,3,C
1708-00170,N/A,Synchro Sliding Sleeve,UB,3,C
1701-00672,N/A,Synchro Cone Hub 5th Gear,UB,3,C
1763-00093,N/A,Synchro Cone Hub 5th Gear,UB,3,C
1708-00071,N/A,First & Second Synchronizing Gear Ring,UB,3,C
1701-00321,N/A,2nd/3rd Gear Seat,UB,3,C
1708-00159,N/A,Synchro Ring,UB,4,D
1763-00302,N/A,Third/Fourth Gear Synchro Sliding Case,UB,4,D
1701-00391,N/A,Sixth Gear Synchro Ring,UB,4,D
1763-00089,N/A,Synchro Ring 3rd/4th/5th/6th Gear,UB,4,D
1701-00699,N/A,Countershaft 3rd/4th Gear,UB,5,E
1701-00667,N/A,Lower End Cap,UB,5,E
1763-00498,N/A,Gear Synchro Cone Hub,UB,5,E
1763-00241,N/A,Fifth Gear Synchro Cone Hub,UB,5,E
1766-00046,N/A,Lower End Cap,UB,5,E
1701-00698,N/A,Counter Shaft,UB,6,F
1762-00183,N/A,Main Shaft ,UB,6,F
1701-00496,N/A,Countershaft ,UB,6,F
1763-02572,N/A,Countershaft ,UB,6,F
1762-02132,N/A,Countershaft ,UB,6,F
1701-01460,N/A,Transmission Cover Gasket ,UB-10,1,A
1762-00077,N/A,Front End Cover Gasket,UB-10,1,A
8126-01095,N/A,Air Compressor Overhauling Gasket,UB-10,1,A
8126-00245,N/A,Air Compressor Overhauling Gasket,UB-10,1,B
8126-01091,N/A,Air Compressor Overhauling Gasket,UB-10,1,B
1307-00482,N/A,Water Pump Shim,UB-10,1,B
3924-00045,N/A,Gasket Overhauling Set,UB-10,1,C
1766-00221,N/A,Gasket Top Cover Transmission,UB-10,1,C
1013-00155,N/A,Gasket Oil Cooler,UB-10,2,D
1013-00044,N/A,Gasket Oil Cooler Cover,UB-10,2,D
1023-00144,N/A,Dip Stick Assy,UB-10,2,D
1023-00063,N/A,Dip Stick Assy,UB-10,2,E
1023-00075,N/A,Dip Stick,UB-10,2,E
1023-00080,N/A,Dip Stick,UB-10,2,E
1023-00101,N/A,Dipstick Assy,UB-10,2,E
1109-04507,N/A,Oil Dip Stick,UB-10,2,E
1023-00081,N/A,Dipstick Assy,UB-10,2,F
1009-00337,N/A,Oil Dipstick Hose,UB-10,2,F
2402-01143,N/A,Gasket Differential,UB-10,2,F
1009-01201,N/A,Dipstick Assy,UB-10,2,F
1009-01317,N/A,Dipstick ,UB-10,2,F
1023-00061,N/A,Dip Stick,UB-10,3,G
1023-00094,N/A,Dip Stick Assy,UB-10,3,G
1003-00028,N/A,Cylinder Head Gasket,UB-10,3,G
1009-01017,N/A,Gasket Oil Pan,UB-10,3,G
1003-00020,N/A,Gasket Valve Cover,UB-10,3,H
1003-01660,1003-00879,Cylinder Head Gasket,UB-10,3,H
1003-00879,1003-01660,Cylinder Head Gasket,UB-10,3,H
1009-00744,N/A,Gasket Oil Pan Sealing,UB-10,3,H
1002-01126,1002-00263,Gear Chamber Shim,UB-10,3,I
1003-00134,1003-01031,Cylinder Head Gasket,UB-10,3,I
1009-00593,1009-00080,Oil Pan Sealing Gasket  ,UB-10,3,I
1003-00821,N/A,Cylinder Head Cover Plate ,UB-10,4,J
1013-00356,1013-00040,Oil Cooler Core Gasket,UB-10,4,J
1013-00041,N/A,Oil Cooler Seat Gasket,UB-10,4,J
1003-00481,1003-01635,Cylinder Head Gasket,UB-10,4,J
1002-00100,1002-02102,Gear Chamber Shim,UB-10,4,K
1003-01081,1003-01676,Cylinder Head Gasket,UB-10,4,K
1002-00578,N/A,Fuel Injection Pump Gear Cover Gasket,UB-10,4,L
1009-00077,N/A,Oil Pan Shim,UB-10,4,L
1002-00154,1002-01064,Gear Chamber Cover Shim,UB-10,4,L
1003-01676,1003-01081,Cylinder Head Gasket,UB-10,4,L
1003-00957,1003-00908/1003-00180/1003-00091,Cylinder Head Hood Shim,UB-10,5,M
1002-01236,N/A,Gear Chamber Shim,UB-10,5,M
1002-01337,N/A,Gear Chamber Cover Shim ,UB-10,5,N
1008-00101,N/A,Intake Pipe Pad,UB-10,5,N
1008-00102,1008-01653,Intake Manifold Gasket,UB-10,5,N
1008-01653,1008-00102,Intake Manifold Gasket,UB-10,5,N
1766-00081,N/A,Top Cover Lining Transmission,UB-10,5,O
1005-02174,1014-00013,Gasket Rear Oil Seal Seat,UB-10,5,O
1766-00027,N/A,Top Cover Gasket Transmission,UB-10,5,O
1003-01799,N/A,Cylinder Head Hood Gasket,UB-10,5,O
1008-01958,N/A,Intake Manifold Gasket,UB-10,5,O
1307-00064,1307-00726,Water Pump Gasket,UB-10,6,P
1007-01165,N/A,Tappet Chamber Cover Shim ,UB-10,6,P
1008-00622,N/A,Exhaust Pipe Shim ,UB-10,6,P
1003-00538,N/A,Valve Chamber Cover Pad,UB-10,6,P
1003-00116,N/A,Gasket Valve Cover,UB-10,6,P
3001-00639,3001-00410,Gasket,UB-10,6,P
1766-00966,N/A,Top Cover Lining,UB-10,6,P
1002-01123,1002-00246,Gear Chamber Sealing Gasket,UB-10,6,Q
1002-00255,N/A,Timing Gear Chamer Cover Pad,UB-10,6,Q
1764-00012,N/A,Transmission Case Rear Cover Line,UB-10,6,Q
1021-00084,N/A,Gasket Timing Gear Chamber,UB-10,6,R
1009-00763,1009-00167,Oil Pan Gasket ,UB-10,6,R
1009-00167,1009-00763,Oil Pan Gasket ,UB-10,6,R
1005-00264,1002-00205,Timing Gear Chamber Pad,UB-10,6,R
1008-00235,1008-01699,Intake Connecting Pipe Shim ,UB-10,7,S
1306-00130,N/A,Thermostat Cover Shim ,UB-10,7,S
1306-00065,N/A,Thermostat Cover Gasket,UB-10,7,S
1013-00120,N/A,Oil Cooler Cover Pad,UB-10,7,S
1118-00339,N/A,Supercharger Gasket,UB-10,7,S
1008-00632,N/A,Exhaust Pipe Shim,UB-10,7,S
1002-00616,N/A,Camshaft End Cover Shim ,UB-10,7,S
1203-00376,1200-00102,Gasket Exhaust Pipe,UB-10,7,S
1010-00041,N/A,Oil Inlet Shim,UB-10,7,S
1118-00384,N/A,Supercharger Shim,UB-10,7,S
1104-02451,1303-02555,Water Pump Gasket,UB-10,7,S
1008-01555,1008-01725,Intake Connecting Pipe Shim,UB-10,7,S
1118-00736,N/A,Gasket Exhaust Pipe,UB-10,7,S
1002-00595,N/A,Shim Rear Oil Seal Seat,UB-10,7,T
1766-00047,N/A,Gasket Lower End Cover,UB-10,7,T
1112-00082,N/A,Fuel Injector Gasket,UB-10,7,T
1203-00345,N/A,Air Inlet Sealing Gasket,UB-10,7,T
1118-00816,1118-00581,Oil Return Pipe Shim Suppercharge,UB-10,7,T
1201-00018,N/A,Muffler Damping Mat,UB-10,7,T
1203-00796,N/A,Exhaust Sealing Gasket,UB-10,7,T
1118-00756,N/A,Supercharger Gasket,UB-10,7,T
1002-00530,N/A,Air Compressor Gasket ,UB-10,7,T
1008-01163,1008-01632/1008-00170,Gasket Intake Pipe,UB-10,7,T
1118-01275,1118-00255,Supercharger Shim,UB-10,7,T
1025-00476,N/A,Pulley Bolt Gasket ,UB-10,7,T
1008-00171,N/A,Intake Connecting Pipe Shim,UB-10,7,T
1118-00665,1118-00093,Super Charger Gasket,UB-10,7,U
1011-00143,N/A,Oil Pump Shim ,UB-10,7,U
1008-00610,N/A,Exhaust Pipe Shim,UB-10,7,U
1118-00105,N/A,Supercharger Sealing Gasket  ,UB-10,7,U
1014-00110,N/A,Gasket Breather Assy.,UB-10,7,U
1003-01038,N/A,Cylinder Head Hood Gasket,UB-10,7,U
1203-00915,N/A,Exhaust Pipe Shim,UB-10,7,U
3509-00581,N/A,Air Compressor Gasket,UB-10,7,U
1118-00580,N/A,Supercharger Oil Intake Pipe Gasket,UB-10,7,U
1008-00081,N/A,Air Intake Connecting Pipe Pad,UB-10,7,U
1008-00627,1008-01735,Exhaust Manifold Gasket,UB-10,7,U
1008-00777,N/A,Intake Pipe Shim,UB-10,7,U
2403-01411,N/A,Axle Shaft Gasket,UB-10,7,U
1306-00379,1306-00128,Thermostat Cover Shim ,UB-10,8,V
1762-00128,N/A,Gasket First Shaft Cover Pad,UB-10,8,V
1111-00324,N/A,Connecting Plate Shim,UB-10,8,V
2403-00457,N/A,Axle Shaft Gasket,UB-10,8,V
1111-00054,N/A,Gear Cover Gasket of The Fuel Injection,UB-10,8,V
1111-00058,N/A,Gasket Fuel Injection Pump,UB-10,8,V
3407-00258,N/A,Steering Oil Pump Cover Gasket ,UB-10,8,V
1002-01411,N/A,Air Compressor Shim,UB-10,8,V
1762-00130,N/A,Front End Cover Shim Countershaft,UB-10,8,V
1002-01235,N/A,Fuel Injection Pump Shim,UB-10,8,V
3509-00613,N/A,Air Compressor Gasket,UB-10,8,V
3509-00831,N/A,Air Compressor Gasket,UB-10,8,V
1307-00113,N/A,Water Pump Shim ,UB-10,8,V
2403-02156,N/A,Stop Gasket ,UB-10,8,V
3509-00569,N/A,Air Compressor Sealing Gasket,UB-10,8,V
1306-00063,1306-00355,Thermostat Cover Shim ,UB-10,8,V
1306-00355,1306-00063,Thermostat Cover Shim ,UB-10,8,V
1306-00263,N/A,Gasket Thermostat,UB-10,8,V
3103-00188,N/A,Lock Washer,UB-10,8,V
1013-00200,N/A,Shim Oil Cooler,UB-10,8,V
1008-00269,N/A,Exhaust Pipe Shim,UB-10,8,V
3509-01078,N/A,Air Compressor Gasket,UB-10,8,W
1011-00084,N/A,Oil Pump Shim ,UB-10,8,W
1010-00057,N/A,Strainer Shim ,UB-10,8,W
3611-00297,N/A,Adjusting Shim,UB-10,8,W
1118-01293,N/A,Supercharger Shim,UB-10,8,W
1003-00657,N/A,Cylinder Head Hood Shim,UB-10,8,W
1306-00134,N/A,Thermostat Cover Shim ,UB-10,8,W
1003-01043,N/A,Rotary Gasket Valve,UB-10,8,W
1109-00972,N/A,Intake Connecting Pipe Shim,UB-10,8,W
1003-01168,N/A,Cylinder Head Hood Shim,UB-10,8,W
1203-03119,N/A,Exhaust Pipe Shim ,UB-10,8,W
1002-00531,N/A,Fuel Injection Pump Shim,UB-10,8,W
3509-01457,N/A,Air Compressor Shim,UB-10,8,W
1002-00226,N/A,Shim Rear Oil Seal Seat,UB-10,8,W
1306-00132,N/A,Gasket Thermostat,UB-10,8,W
1002-01379,N/A,Fuel Injection Pump Gear Shim,UB-10,8,W
1762-01060,N/A,"Front End Cover Shim, Countershaft",UB-10,8,X
1307-00175,1307-00114,Water Pump Shim,UB-10,8,X
1008-00065,1008-01688,Intake Pipe Shim,UB-10,8,X
1007-00136,1003-01036,Valve Chamber Sealing Gasket  ,UB-10,8,X
2403-02605,2403-00698,Adjusting Shim ,UB-10,8,X
2403-00698,2403-02605,Adjusting Shim ,UB-10,8,X
2400-00208,N/A,Axle Shaft Liner,UB-10,8,X
1763-00652,N/A,Gasket Adjsuter Main Shaft,UB-10,8,X
3509-01711,3509-00548,Air Compressor Gasket,UB-10,8,X
1013-00359,N/A,Oil Cooler Shim,UB-11,1,A
3924-00053,N/A,Shim,UB-11,1,A
1009-00973,N/A,Oil Pan Gasket,UB-11,2,B
1013-00507,N/A,Mat Oil Cooler Cover,UB-11,2,B
1003-00819,N/A,Cylinder Head Hood Shim,UB-11,3,C
1008-01591,1008-00161/1008-01170,Intake Manifold Gasket,UB-11,3,C
1002-01237,N/A,Gear Chamber Cover Shim,UB-11,4,D
1009-00099,N/A,Oil Pan Gasket,UB-11,5,E
1003-01613,1002-00070/1003-00507,Cylinder Gasket,UB-11,6,F
1003-01696,1003-02122/1003-01655,Cylinder Gasket,UB-11,7,G
2403-00295,N/A,Axle Shaft Gasket,UB-11,8,H
3924-00037,N/A,Gasket Overhauling,UB-12,1,A
1003-01918,1003-02091,Cylinder Head Gasket,UB-12,1,A
1009-00087,N/A,Oil Pan Gasket,UB-12,1,A
1763-00646,N/A,6th Gear Needle Bearing Countershaft,UB-12,2,C
1701-00715,N/A,Shift Lever 1st / 2nd Gear,UB-12,2,C
1763-00654,N/A,Shaft Circlip Countershaft,UB-12,2,C
1703-00386,N/A,Interlock Shaft Push Block ,UB-12,2,C
1708-00161,N/A,Coupling Block,UB-12,2,C
1762-00431,N/A,Adjusting Washer Countershaft,UB-12,2,C
1701-00666,N/A,Reverse Gear Needle Bearing,UB-12,2,C
1766-00406,N/A,Fan Shaped Self Locking Block,UB-12,2,C
1761-00182,N/A,Fuel Nozzle Joint,UB-12,2,C
1763-00656,N/A,Shaft Circlip-Countershaft,UB-12,2,C
1701-00501,N/A,Self Locking Pin Spring,UB-12,2,C
1703-00383,N/A,Shift Drive Plate ,UB-12,2,C
1701-01595,N/A,Transmission Oil Drain Plug ,UB-12,2,C
1763-00658,N/A,Shaft Circlip Countershaft,UB-12,2,C
1762-00132,N/A,"Front End Cover Bolt, Countershaft ",UB-12,2,C
1701-00693,N/A,Reverse Gear Fork Supporting Pin,UB-12,2,C
1701-00718,N/A,Reverse Turbocharger ,UB-12,2,C
1701-00713,N/A,Shaft End Lock Plate ,UB-12,2,C
1762-00495,N/A,Bolt Main Drive Shaft,UB-12,2,C
1702-00141,N/A,Sealing Ring,UB-12,2,C
1702-00140,N/A,Washer,UB-12,2,C
1763-00716,N/A,Washer Transmission,UB-12,2,C
1761-00310,N/A,Plug,UB-12,2,C
1701-00905,N/A,Flexible Retainer Used for Shaft,UB-12,2,C
1764-00224,N/A,Stud Bolt,UB-12,2,C
1763-00962,N/A,Circlip Main Shaft,UB-12,2,C
1763-01470,N/A,Stud Bolt ,UB-12,2,C
1765-01362,N/A,Reverse Lever,UB-12,2,C
1763-00653,N/A,Oil Retainer Disk ,UB-12,2,D
1763-00657,N/A,Shaft Circlip,UB-12,2,D
1701-00317,N/A,Needle Bearing,UB-12,2,D
1765-00141,N/A,"Shift Lever, 1st/2nd Gear",UB-12,2,D
1701-01622,N/A,Needle Bearing used on Transmission Cover,UB-12,2,D
1701-00490,N/A,Lock Ring ,UB-12,2,D
1762-00226,N/A,Semicircle Retainer Ring,UB-12,2,D
1761-00249,N/A,Plug Assy. Oil Drain Hole ,UB-12,2,D
1765-00206,N/A,Sealing Ring Neutral Gear Switch ,UB-12,2,D
1761-00184,N/A,Sealing Ring,UB-12,2,D
1703-02641,N/A,Return Spring ,UB-12,2,D
1701-00899,N/A,Shaft End Baffle,UB-12,2,D
1763-00714,N/A,Shaft Circlip ,UB-12,2,D
1708-00019,N/A,Slider Outer Spring,UB-12,2,D
1708-00020,N/A,Slider Inner Spring,UB-12,2,D
1701-00668,N/A,Synchro Slider  ,UB-12,2,D
1701-02218,N/A,Shift Cable Large Return Spring,UB-12,2,D
1763-00528,N/A,Shaft End Lock Bolt,UB-12,2,D
1701-01076,N/A,Vent Plug,UB-12,2,D
1701-01777,N/A,Small Return Spring ,UB-12,2,D
1701-03947,N/A,Stud Bolt,UB-12,2,D
1764-00225,N/A,Stud Bolt,UB-12,2,D
1764-00083,N/A,Release Bearing Return Spring ,UB-12,2,D
1763-00556,N/A,"Needle Bearing, 6th Gear",UB-12,2,D
1762-01298,N/A,Oil Gathering Ring,UB-12,2,D
1762-00190,N/A,Reverse Gear,UB-12,3,E
1701-00525,N/A,Second Shaft Front Bearing,UB-12,3,E
1762-00220,N/A,Lock Ring-First Shaft,UB-12,3,E
1703-00385,N/A,Interlock Shaft ,UB-12,3,E
1703-00529,N/A,Shifting Knob,UB-12,3,E
1703-00531,N/A,Shift Operating Handle,UB-12,3,E
1701-00888,N/A,Reverse Gear Needle Bearing Bush,UB-12,3,E
1701-00506,N/A,Self Locking Pin Spring,UB-12,3,E
1701-00402,N/A,Second Shaft Front Bearing,UB-12,3,E
1701-00489,N/A,Fourth Gear Needle Bearing,UB-12,3,E
1701-01719,N/A,Release Fork Needle Bearing ,UB-12,3,E
1701-00494,N/A,Third Gear Needle Bearing,UB-12,3,E
1701-00909,N/A,Self Locking Pin,UB-12,3,E
1762-00131,N/A,"Front End Cover Bolt, Countershaft",UB-12,3,E
1701-02225,N/A,Shift Tie Rod 3rd/4th Gear ,UB-12,3,E
1701-00702,N/A,Reverse Gear,UB-12,3,E
1701-00407,N/A,Release Bearing and Seat,UB-12,3,E
1701-04121,N/A,Reverse Gear Switch,UB-12,3,E
1701-00522,N/A,Needle Bearing 3rd Gear,UB-12,3,E
1701-00333,N/A,Reverse Gear Needle Bearing ,UB-12,3,E
1702-00089,N/A,Thrust Washer,UB-12,3,E
1714-00244,N/A,Release Bearing Return Spring ,UB-12,3,E
1764-00197,N/A,Odometer Induction Ring,UB-12,3,E
1763-00401,N/A,4th Gear Shaft Bushing ,UB-12,3,E
1703-01477,N/A,Ball Joint Shifting Cable,UB-12,3,E
1763-01095,N/A,Shaft Circlip,UB-12,3,E
1708-00865,N/A,Gear Synchro 3rd/4th,UB-12,3,E
1702-00126,N/A,Selector Cable Assy,UB-12,3,E
1765-00205,N/A,Transmission Bolt,UB-12,3,E
1703-02313,N/A,Shift Cable Joint ,UB-12,3,E
1763-02406,N/A,Countershaft Reverse Gear,UB-12,3,E
1701-00683,N/A,Bearing Race 5th Gear,UB-12,3,F
1701-00306,N/A,Second Shaft First Gear Needle Bearing,UB-12,3,F
1702-00039,N/A,Second Shaft Reverse Gear Needle Bearing ,UB-12,3,F
1763-00670,N/A,Adjusting Gasket,UB-12,3,F
1766-00309,N/A,Limit Spacer,UB-12,3,F
1763-00526,N/A,Steel Ball,UB-12,3,F
